[ 2024-08-03 15:53:06,681  107 dagshub - INFO - Accessing as sanket-profile]
[ 2024-08-03 15:53:07,096  107 dagshub - INFO - Initialized MLflow to track repo "sanket-profile/consumerComplaint"]
[ 2024-08-03 15:53:07,096  107 dagshub - INFO - Repository sanket-profile/consumerComplaint initialized!]
[ 2024-08-03 15:53:07,164  25 COMPONENTS - INFO - Initiating prediction]
[ 2024-08-03 15:53:07,164  26 COMPONENTS - INFO - Preprocessing the input text]
[ 2024-08-03 15:53:07,164  30 COMPONENTS - INFO - Preprocessed the input text]
[ 2024-08-03 15:53:07,164  31 COMPONENTS - INFO - Loading the tfidf vectorizer and model]
[ 2024-08-03 15:53:07,205  42 COMPONENTS - INFO - Loaded the tfidf vectorizer and model]
[ 2024-08-03 15:53:07,206  43 COMPONENTS - INFO - Applying the tfidf vectorizer on out input text]
[ 2024-08-03 15:53:07,209  47 COMPONENTS - INFO - Applyied the tfidf vectorizer on out input text]
[ 2024-08-03 15:53:07,209  48 COMPONENTS - INFO - Initiating model and making it ready for prediction]
