[ 2024-08-03 02:26:25,904  22 COMPONENTS - INFO - Starting Data Ingestion]
[ 2024-08-03 02:26:53,187  26 COMPONENTS - INFO - Data Ingestion completed]
[ 2024-08-03 02:26:53,189  41 COMPONENTS - INFO - Starting data transformation]
[ 2024-08-03 02:26:53,189  42 COMPONENTS - INFO - Removing Unwanted Columns]
[ 2024-08-03 02:26:54,096  46 COMPONENTS - INFO - Removed Unwanted Columns]
[ 2024-08-03 02:26:54,097  47 COMPONENTS - INFO - Changing Product name where Other financial service was not needed to the real Product that should be there]
[ 2024-08-03 02:26:55,109  58 COMPONENTS - INFO - Changed Product name where Other financial service was not needed to the real Product that should be there]
[ 2024-08-03 02:26:55,109  59 COMPONENTS - INFO - Merging similar products to simplify target variable]
[ 2024-08-03 02:27:00,075  68 COMPONENTS - INFO - Merged similar products to simplify target variable]
[ 2024-08-03 02:27:00,075  69 COMPONENTS - INFO - Changing the subProduct value from I do not know to -> Debt Collection so that it could be usefull for the customer complaint column]
[ 2024-08-03 02:27:00,794  73 COMPONENTS - INFO - Changed the subProduct value from I do not know to -> Debt Collection]
[ 2024-08-03 02:27:00,794  74 COMPONENTS - INFO - Replacing all NaN values with the empty strings so that we can combine all the columns into one]
[ 2024-08-03 02:27:02,164  81 COMPONENTS - INFO - Replaced all NaN values with the empty strings]
[ 2024-08-03 02:27:02,164  82 COMPONENTS - INFO - Combining all the columns to form single input column]
[ 2024-08-03 02:27:23,938  86 COMPONENTS - INFO - Combined all the columns to form single input column]
[ 2024-08-03 02:27:23,942  87 COMPONENTS - INFO - Removing for duplicate rows]
[ 2024-08-03 02:28:45,263  91 COMPONENTS - INFO - Removed for duplicate rows]
[ 2024-08-03 02:28:45,269  92 COMPONENTS - INFO - Downsampling the train data,since it has imbalance in classes. Also creating train test split]
[ 2024-08-03 02:28:50,249  117 COMPONENTS - INFO - Downsampled the train data. Also created train test split]
[ 2024-08-03 02:28:50,249  118 COMPONENTS - INFO - Downsampling the test data,since it has imbalance in classes.]
